,id,area,sq_mt_built,n_rooms,address,street_name,rent_price,buy_price,built_year,has_parking
52,21690,"Villaverde, Madrid",65.0,2,Piso en venta en Los Rosales,,604,115000,,False
53,21689,"Los Ángeles, Madrid",108.0,3,Piso en venta en calle Alcocer,Calle Alcocer,847,179000,1978.0,False
54,21688,"Villaverde, Madrid",62.0,2,Piso en venta en San Andrés,,638,123000,1984.0,False
55,21687,"Los Rosales, Madrid",51.0,2,Piso en venta en calle Topacio,Calle Topacio,492,89500,1967.0,False
56,21686,"Butarque, Madrid",112.0,3,"Piso en venta en calle Calcio, 15",Calle Calcio,1172,289000,2013.0,True
57,21685,"Butarque, Madrid",109.0,3,"Piso en venta en calle Camas, 2",Calle Camas,968,216278,,True
58,21684,"Butarque, Madrid",107.0,3,"Piso en venta en calle Camas, 2",Calle Camas,940,207503,,True
59,21683,"Butarque, Madrid",76.0,2,"Piso en venta en calle Camas, 2",Calle Camas,790,162793,,True
60,21682,"Butarque, Madrid",105.0,3,"Piso en venta en calle Camas, 2",Calle Camas,933,204999,,True
61,21681,"Butarque, Madrid",109.0,3,"Piso en venta en calle Camas, 2",Calle Camas,982,220879,,True
62,21680,"Butarque, Madrid",108.0,3,"Piso en venta en calle Camas, 2",Calle Camas,974,218258,,True
63,21679,"Butarque, Madrid",109.0,3,"Piso en venta en calle Camas, 2",Calle Camas,1014,231855,,True
64,21678,"Butarque, Madrid",76.0,2,"Piso en venta en calle Camas, 2",Calle Camas,793,163397,,True
65,21677,"Butarque, Madrid",76.0,2,"Piso en venta en calle Camas, 2",Calle Camas,783,160759,,True
66,21676,"Butarque, Madrid",108.0,3,"Piso en venta en calle Camas, 2",Calle Camas,970,217169,,True
67,21675,"Butarque, Madrid",76.0,2,"Piso en venta en calle Camas, 2",Calle Camas,799,165208,,True
68,21674,"Butarque, Madrid",109.0,3,"Piso en venta en calle Camas, 2",Calle Camas,978,219775,,True
69,21673,"Butarque, Madrid",108.0,3,"Piso en venta en calle Camas, 2",Calle Camas,1011,230817,,True
70,21672,"Butarque, Madrid",108.0,3,"Piso en venta en calle Camas, 2",Calle Camas,960,213722,,True
71,21671,"Butarque, Madrid",111.0,2,"Ático en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,1011,230749,,True
72,21670,"Butarque, Madrid",115.0,3,"Piso en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,1020,233789,,True
73,21669,"Butarque, Madrid",115.0,3,"Piso en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,1011,230789,,True
